key,date,new_cases,new_deaths,cumulative_cases,cumulative_deaths,population,country,state_province,county,aggregation_level
AR_C_006,2020-08-12,14,1,982,33,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-23,8,0,162,6,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-30,1,0,48,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-07,2,0,72,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-01,3,0,51,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-27,1,0,39,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-24,30,1,540,21,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-21,4,0,27,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-17,3,0,1049,37,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-10,9,0,95,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-22,0,0,7,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-29,0,0,12,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-30,0,0,12,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-22,4,0,31,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-13,7,0,113,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-11,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-20,20,0,452,16,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-21,1,0,1,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-15,1,0,18,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-28,25,0,628,21,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-07,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-26,27,0,585,21,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-04,2,0,61,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-16,4,1,121,6,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-20,0,0,5,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-25,1,0,2,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-03,42,0,797,26,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-19,0,0,5,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-05,4,1,65,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-08,23,1,919,30,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-14,2,0,115,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-18,5,0,132,6,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-22,2,0,154,6,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-03,2,0,5,1,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-26,1,0,38,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-23,21,1,510,20,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-13,23,1,1005,34,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-02,5,0,56,4,176076,Argentina,City of Buenos Aires,Caballito,2
